file,line,ref_type,target,ref_context,target_title,target_excerpt,score,ref_tokens,target_tokens,sufficient,auto_category,manual_label
DSM_1.0_Data_Science_Collaboration_Methodology_v1.1.md,1734,section,2,**Section 2: Data Loading & Validation**,Making Changes,**Fork and Clone:**,0.0000,28,4,True,drift,
DSM_1.0_Data_Science_Collaboration_Methodology_v1.1.md,1746,section,6,**Section 6: Validation & Export**,Common Patterns,,0.0000,30,2,False,insufficient,
DSM_1.0_Data_Science_Collaboration_Methodology_v1.1.md,1752,section,7,**Section 7: Summary & Next Steps**,Tips for Success,,0.0000,28,2,False,insufficient,
DSM_1.0_Data_Science_Collaboration_Methodology_v1.1.md,1796,section,3,"- ""Section 3: Customer Cohort Definition""",Standards to Follow,**Documentation Style:**,0.0000,26,4,True,drift,
DSM_1.0_Data_Science_Collaboration_Methodology_v1.1.md,1797,section,3,"- ""Section 3: Analysis""",Standards to Follow,**Documentation Style:**,0.0000,29,4,True,drift,
DSM_1.0_Data_Science_Collaboration_Methodology_v1.1.md,1904,section,2.1.2,- Use code quality tools (Section 2.1.2),Two-Step Environment Setup,Environment setup follows a **two-step process** to maintain consistency whil...,0.0000,29,13,True,drift,
DSM_1.0_Data_Science_Collaboration_Methodology_v1.1.md,2003,section,3.2.3,Best practices tell you what to do; anti-patterns tell you what NOT to do. Th...,Code Quality Guidelines,**For Academic/Exploratory Work:**,0.1265,42,6,True,match,
DSM_1.0_Data_Science_Collaboration_Methodology_v1.1.md,2625,section,4.1,- Document decision (Section 4.1),Decision Log Framework,,0.0874,26,3,True,drift,
DSM_1.0_Data_Science_Collaboration_Methodology_v1.1.md,2953,appendix,C.1,"**For complete implementation guidance, see Appendix C.1: Experiment Tracking...",Experiment Tracking Implementation,"**When to Use:** ML projects with multiple model iterations, parameter tuning...",0.2670,38,14,True,match,
DSM_1.0_Data_Science_Collaboration_Methodology_v1.1.md,2978,appendix,C.2,"**For complete implementation guidance, see Appendix C.2: Hypothesis Manageme...",Hypothesis Management Implementation,"**When to Use:** Research projects, stakeholder validation, or projects with ...",0.2038,40,12,True,match,
DSM_1.0_Data_Science_Collaboration_Methodology_v1.1.md,3003,appendix,C.3,"**For complete implementation guidance, see Appendix C.3: Performance Baselin...",Performance Baseline Implementation,**When to Use:** Evaluating model improvements or justifying approach complex...,0.2353,40,11,True,match,
DSM_1.0_Data_Science_Collaboration_Methodology_v1.1.md,3033,appendix,C.4,"**For complete implementation guidance, see Appendix C.4: Ethics & Bias Imple...",Ethics & Bias Implementation,"**When to Use:** Models affecting people, sensitive attributes, or regulated ...",0.2028,39,13,True,match,
DSM_1.0_Data_Science_Collaboration_Methodology_v1.1.md,3058,appendix,C.5,"**For complete implementation guidance, see Appendix C.5: Testing Strategy Im...",Testing Strategy Implementation,"**When to Use:** Production deployments, team collaboration, or code reuse.",0.2056,41,11,True,match,
DSM_1.0_Data_Science_Collaboration_Methodology_v1.1.md,3083,appendix,C.6,"**For complete implementation guidance, see Appendix C.6: Data Versioning Imp...",Data Versioning Implementation,"**When to Use:** Multiple data versions, reproducibility critical, or team da...",0.2139,41,13,True,match,
DSM_1.0_Data_Science_Collaboration_Methodology_v1.1.md,3112,appendix,C.7,"**For complete implementation guidance, see Appendix C.7: Technical Debt Impl...",Technical Debt Register Implementation,"**When to Use:** Long-term projects (>6 months), growing codebases, or team p...",0.1668,42,14,True,match,
DSM_1.0_Data_Science_Collaboration_Methodology_v1.1.md,3137,appendix,C.8,"**For complete implementation guidance, see Appendix C.8: Scalability Impleme...",Scalability Implementation,"**When to Use:** Data growth expected, user base expansion, or performance is...",0.1888,38,12,True,match,
DSM_1.0_Data_Science_Collaboration_Methodology_v1.1.md,3162,appendix,C.9,"**For complete implementation guidance, see Appendix C.9: Literature Review I...",Literature Review Implementation,"**When to Use:** Novel problems, research projects, or no established best pr...",0.3091,41,12,True,match,
DSM_1.0_Data_Science_Collaboration_Methodology_v1.1.md,3187,appendix,C.10,"**For complete implementation guidance, see Appendix C.10: Risk Management Im...",Risk Management Implementation,"**When to Use:** High-stakes decisions, multiple dependencies, or uncertain r...",0.3711,42,11,True,match,
DSM_1.0_Data_Science_Collaboration_Methodology_v1.1.md,3282,section,6.1.5,- Follow Section 6.1.5 Session Close-Out Protocol,Session Close-Out Protocol,"**Purpose:** Standardize session endings to prevent data loss, maintain conti...",0.1836,32,15,True,match,
DSM_1.0_Data_Science_Collaboration_Methodology_v1.1.md,3431,section,6.1.2,- Use Section 6.1.2 handoff template,Session Handoff Templates,**When to Create Handoff:**,0.3481,34,6,True,match,
DSM_1.0_Data_Science_Collaboration_Methodology_v1.1.md,3803,section,6.4.5,**Key Insight:** Projects using DSM are the best source of methodology feedba...,Project Feedback Deliverables,"At project start, create two feedback files in `docs/feedback/`. These files ...",0.2959,55,29,True,match,
DSM_1.0_Data_Science_Collaboration_Methodology_v1.1.md,3822,appendix,E.12,See **Appendix E.12** for the complete Validation Tracker Template.,DSM Validation Tracker (Integrated into Feedback System),,0.3306,51,6,True,match,
DSM_1.0_Data_Science_Collaboration_Methodology_v1.1.md,3829,appendix,E.12,"Validation Tracker, Appendix E.12) directly into the feedback system.",DSM Validation Tracker (Integrated into Feedback System),,0.3247,37,6,True,match,
DSM_1.0_Data_Science_Collaboration_Methodology_v1.1.md,3840,section,2.5.6,feedback. See Section 2.5.6 for the blog process and DSM_0.1 for file naming.,Blog/Communication Deliverable Process,"When a project includes a public communication deliverable (blog post, articl...",0.2643,57,15,True,match,
DSM_1.0_Data_Science_Collaboration_Methodology_v1.1.md,3891,appendix,E.12,Tracker from Appendix E.12) and the actual technical pipeline. This serves three,DSM Validation Tracker (Integrated into Feedback System),,0.2210,41,6,True,match,
DSM_1.0_Data_Science_Collaboration_Methodology_v1.1.md,3902,section,2.1,"| Section 2.1 | S1 Setup | 4.5 | Clear checklist, minor gaps |",Phase 0: Environment Setup,,0.0731,50,4,True,drift,
DSM_1.0_Data_Science_Collaboration_Methodology_v1.1.md,3903,section,2.2,| Section 2.2 | S1D1-3 | 4.0 | Missing X pattern |,Phase 1: Exploration,,0.0000,50,3,True,drift,
DSM_1.0_Data_Science_Collaboration_Methodology_v1.1.md,3997,section,2.5.6,deliverables (see Section 2.5.6).,Blog/Communication Deliverable Process,"When a project includes a public communication deliverable (blog post, articl...",0.0885,46,15,True,drift,
DSM_1.0_Data_Science_Collaboration_Methodology_v1.1.md,3999,appendix,E.12,**Note:** The standalone Validation Tracker (Appendix E.12) has been integrated,DSM Validation Tracker (Integrated into Feedback System),,0.5289,46,6,True,match,
DSM_1.0_Data_Science_Collaboration_Methodology_v1.1.md,4005,section,6.1,integration. Use the standardized handover prompt in DSM_3 Section 6.1 to,Session Management,,0.0000,40,2,False,insufficient,
DSM_1.0_Data_Science_Collaboration_Methodology_v1.1.md,4015,section,6,"Cross-reference: DSM_3 Section 6 (Feedback Handover), `/dsm-review-feedback`",Common Patterns,,0.0000,41,2,False,insufficient,
DSM_1.0_Data_Science_Collaboration_Methodology_v1.1.md,4046,section,6.4.5,"Cross-reference: Section 6.4.5 (Project Feedback Deliverables), Section 2.5.8",Project Feedback Deliverables,"At project start, create two feedback files in `docs/feedback/`. These files ...",0.1907,32,29,True,match,
DSM_1.0_Data_Science_Collaboration_Methodology_v1.1.md,4046,section,2.5.8,"Cross-reference: Section 6.4.5 (Project Feedback Deliverables), Section 2.5.8",Blog Post as Standard Deliverable,All finalized projects should produce a blog post as a standard communication...,0.2801,32,31,True,match,
DSM_1.0_Data_Science_Collaboration_Methodology_v1.1.md,4054,section,6.4,and consuming projects. While Section 6.4 covers project-to-DSM feedback (bot...,Checkpoint and Feedback Protocol,,0.1750,44,3,True,match,
DSM_1.0_Data_Science_Collaboration_Methodology_v1.1.md,4069,section,6.2.2,completed the scaffolding checklist (DSM_3 Section 6.2.2) before proceeding to,Code Review Guidelines,**Self-Review Checklist:**,0.0573,44,5,True,drift,
DSM_1.0_Data_Science_Collaboration_Methodology_v1.1.md,4079,section,3,| Directory structure | Follows DSM pattern for project type (see DSM_0 Secti...,Standards to Follow,**Documentation Style:**,0.0000,54,4,True,drift,
DSM_1.0_Data_Science_Collaboration_Methodology_v1.1.md,4146,section,6.4.5,"Cross-reference: Section 6.4.5 (Project Feedback Deliverables), PM Guidelines",Project Feedback Deliverables,"At project start, create two feedback files in `docs/feedback/`. These files ...",0.1644,68,29,True,match,
DSM_1.0_Data_Science_Collaboration_Methodology_v1.1.md,4428,appendix,A,- Appendix A: Environment setup details,Environment Setup Details,**File:** `DSM_1.0_Methodology_Appendices.md` (Section A) **Purpose:** Detail...,0.1344,44,12,True,match,
DSM_1.0_Data_Science_Collaboration_Methodology_v1.1.md,4429,appendix,B,- Appendix B: Phase deep dives with examples,Phase Deep Dives,**File:** `DSM_1.0_Methodology_Appendices.md` (Section B) **Purpose:** Detail...,0.2259,44,12,True,match,
DSM_1.0_Data_Science_Collaboration_Methodology_v1.1.md,4430,appendix,C,- Appendix C: Advanced practices detailed implementation,Advanced Practices Detailed,**File:** `DSM_1.0_Methodology_Appendices.md` (Section C) **Purpose:** Implem...,0.3858,44,13,True,match,
DSM_1.0_Data_Science_Collaboration_Methodology_v1.1.md,4431,appendix,D,- Appendix D: Domain-specific adaptations,Domain Adaptations,**File:** `DSM_1.0_Methodology_Appendices.md` (Section D) **Purpose:** Domain...,0.1359,39,10,True,match,
DSM_1.0_Data_Science_Collaboration_Methodology_v1.1.md,4432,appendix,E,- Appendix E: Quick reference tables,Quick Reference,**File:** `DSM_1.0_Methodology_Appendices.md` (Section E) **Purpose:** Checkl...,0.1000,40,11,True,drift,
DSM_1.0_Data_Science_Collaboration_Methodology_v1.1.md,4450,section,1,1. Read Section 1 (Introduction) to understand when this methodology applies,Before Starting,Check existing issues to avoid duplication,0.0513,45,6,True,drift,
DSM_1.0_Data_Science_Collaboration_Methodology_v1.1.md,4451,section,2,2. Review Section 2 (Core Workflow) to understand the 4-phase process,Making Changes,**Fork and Clone:**,0.0000,50,4,True,drift,
DSM_1.0_Data_Science_Collaboration_Methodology_v1.1.md,4452,section,3,3. Check Section 3 (Working Standards) for notebook and code standards,Standards to Follow,**Documentation Style:**,0.1116,49,4,True,match,
DSM_1.0_Data_Science_Collaboration_Methodology_v1.1.md,4453,section,2.1,4. Execute Phase 0 (Section 2.1) to set up your environment,Phase 0: Environment Setup,,0.1997,55,4,True,match,
DSM_1.0_Data_Science_Collaboration_Methodology_v1.1.md,4454,section,2.2,5. Begin Phase 1 (Section 2.2) with exploratory data analysis,Phase 1: Exploration,,0.1577,54,3,True,match,
DSM_1.0_Data_Science_Collaboration_Methodology_v1.1.md,4457,section,4,"- Reference Section 4 for decision log, pivots, stakeholder communication",Commit Guidelines,**Commit Message Format:**,0.0000,52,5,True,drift,
DSM_1.0_Data_Science_Collaboration_Methodology_v1.1.md,4458,section,5,- Consult Section 5 when project complexity increases,Pull Request Process,**Update Documentation:**,0.0000,46,5,True,drift,
DSM_1.0_Data_Science_Collaboration_Methodology_v1.1.md,4459,section,6,- Use Section 6 for quality assurance and session management,Common Patterns,,0.0000,43,2,False,insufficient,
DSM_1.0_Data_Science_Collaboration_Methodology_v1.1.md,4460,section,7,- Refer to Section 7 for effective agent collaboration patterns,Tips for Success,,0.0000,47,2,False,insufficient,
DSM_1.0_Data_Science_Collaboration_Methodology_v1.1.md,4463,section,6.3,- Check Section 6.3 (Troubleshooting) for common issues,Troubleshooting,,0.0000,45,1,False,insufficient,
DSM_1.0_Data_Science_Collaboration_Methodology_v1.1.md,4464,appendix,B,- Review Appendix B for detailed phase guidance,Phase Deep Dives,**File:** `DSM_1.0_Methodology_Appendices.md` (Section B) **Purpose:** Detail...,0.2731,41,12,True,match,
DSM_1.0_Data_Science_Collaboration_Methodology_v1.1.md,4465,appendix,C,- Consult Appendix C for advanced practice implementations,Advanced Practices Detailed,**File:** `DSM_1.0_Methodology_Appendices.md` (Section C) **Purpose:** Implem...,0.2126,35,13,True,match,
DSM_1.0_Data_Science_Collaboration_Methodology_v1.1.md,4466,section,4.1.4,- Reference decision log examples (Section 4.1.4),Example from TravelTide,**Real Decision Log Entry:**,0.1185,39,6,True,match,
DSM_1.0_Data_Science_Collaboration_Methodology_v1.1.md,4485,appendix,D.1,- Time Series: See Appendix D.1,Time Series Projects,,0.2279,31,3,True,match,
DSM_1.0_Data_Science_Collaboration_Methodology_v1.1.md,4486,appendix,D.2,- NLP: See Appendix D.2,NLP Projects,,0.0000,29,2,False,insufficient,
DSM_1.0_Data_Science_Collaboration_Methodology_v1.1.md,4487,appendix,D.3,- Computer Vision: See Appendix D.3,Computer Vision Projects,,0.2620,27,3,True,match,
DSM_1.0_Data_Science_Collaboration_Methodology_v1.1.md,4488,appendix,D.4,- Clustering: See Appendix D.4,Clustering Projects,,0.0000,30,2,False,insufficient,
DSM_1.0_Data_Science_Collaboration_Methodology_v1.1.md,4489,appendix,D.5,- Regression/Classification: See Appendix D.5,Regression/Classification Projects,,0.0000,29,2,False,insufficient,
DSM_1.0_Data_Science_Collaboration_Methodology_v1.1.md,4524,appendix,A,- Appendix A: Environment Setup Details,Environment Setup Details,**File:** `DSM_1.0_Methodology_Appendices.md` (Section A) **Purpose:** Detail...,0.2427,39,12,True,match,
DSM_1.0_Data_Science_Collaboration_Methodology_v1.1.md,4525,appendix,B,- Appendix B: Phase Deep Dives,Phase Deep Dives,**File:** `DSM_1.0_Methodology_Appendices.md` (Section B) **Purpose:** Detail...,0.3040,45,12,True,match,
DSM_1.0_Data_Science_Collaboration_Methodology_v1.1.md,4526,appendix,C,- Appendix C: Advanced Practices Detailed,Advanced Practices Detailed,**File:** `DSM_1.0_Methodology_Appendices.md` (Section C) **Purpose:** Implem...,0.3195,40,13,True,match,
DSM_1.0_Data_Science_Collaboration_Methodology_v1.1.md,4527,appendix,D,- Appendix D: Domain Adaptations,Domain Adaptations,**File:** `DSM_1.0_Methodology_Appendices.md` (Section D) **Purpose:** Domain...,0.1581,40,10,True,match,
DSM_1.0_Data_Science_Collaboration_Methodology_v1.1.md,4528,appendix,E,- Appendix E: Quick Reference + File Naming Standards,Quick Reference,**File:** `DSM_1.0_Methodology_Appendices.md` (Section E) **Purpose:** Checkl...,0.1755,39,11,True,match,
DSM_1.0_Methodology_Appendices.md,16,appendix,A,"- **Appendix A:** Environment Setup Details (Package specifications, troubles...",Environment Setup Details,**File:** `DSM_1.0_Methodology_Appendices.md` (Section A) **Purpose:** Detail...,0.3443,47,12,True,match,
DSM_1.0_Methodology_Appendices.md,17,appendix,B,- **Appendix B:** Phase Deep Dives (Detailed guidance with examples),Phase Deep Dives,**File:** `DSM_1.0_Methodology_Appendices.md` (Section B) **Purpose:** Detail...,0.2783,54,12,True,match,
DSM_1.0_Methodology_Appendices.md,18,appendix,C,- **Appendix C:** Advanced Practices Detailed (Implementation guides),Advanced Practices Detailed,**File:** `DSM_1.0_Methodology_Appendices.md` (Section C) **Purpose:** Implem...,0.2611,62,13,True,match,
DSM_1.0_Methodology_Appendices.md,19,appendix,D,"- **Appendix D:** Domain Adaptations (Time series, NLP, CV, clustering)",Domain Adaptations,**File:** `DSM_1.0_Methodology_Appendices.md` (Section D) **Purpose:** Domain...,0.1583,56,10,True,match,
DSM_1.0_Methodology_Appendices.md,20,appendix,E,"- **Appendix E:** Quick Reference (Checklists, templates, commands)",Quick Reference,**File:** `DSM_1.0_Methodology_Appendices.md` (Section E) **Purpose:** Checkl...,0.2142,53,11,True,match,
DSM_1.0_Methodology_Appendices.md,22,section,2.2,"**Cross-references to main methodology:** Use ""Section X.Y"" format (e.g., ""Se...",Phase 1: Exploration,,0.0000,51,3,True,drift,
DSM_1.0_Methodology_Appendices.md,26,appendix,A,# Appendix A: Environment Setup Details,Environment Setup Details,**File:** `DSM_1.0_Methodology_Appendices.md` (Section A) **Purpose:** Detail...,0.4251,46,12,True,match,
DSM_1.0_Methodology_Appendices.md,29,section,2.1,**Main Document:** `1.0_Data_Science_Collaboration_Methodology.md` â†’ Sectio...,Phase 0: Environment Setup,,0.4678,33,4,True,match,
DSM_1.0_Methodology_Appendices.md,1011,section,2.1,"Cross-reference: Section 2.1 (Environment Setup), DSM 4.0 Section 3 (Developm...",Phase 0: Environment Setup,,0.1364,75,4,True,match,
DSM_1.0_Methodology_Appendices.md,1011,section,3,"Cross-reference: Section 2.1 (Environment Setup), DSM 4.0 Section 3 (Developm...",Standards to Follow,**Documentation Style:**,0.0000,75,4,True,drift,
DSM_1.0_Methodology_Appendices.md,1059,appendix,A.3,Cross-reference: Appendix A.3 (Domain-Specific Extensions),Domain-Specific Extensions,,0.0000,50,2,False,insufficient,
DSM_1.0_Methodology_Appendices.md,1116,section,2.1,"Cross-reference: Section 2.1 (Environment Setup), Appendix A.7 (Environment T...",Phase 0: Environment Setup,,0.1356,79,4,True,match,
DSM_1.0_Methodology_Appendices.md,1116,appendix,A.7,"Cross-reference: Section 2.1 (Environment Setup), Appendix A.7 (Environment T...",Environment Tool Selection Guide,"Choosing the right environment tool depends on project type, team experience,...",0.0981,79,22,True,drift,
DSM_1.0_Methodology_Appendices.md,1159,section,2.1,"Cross-reference: Section 2.1 (Environment Setup), Appendix A.9 (WSL & Cross-P...",Phase 0: Environment Setup,,0.3904,64,4,True,match,
DSM_1.0_Methodology_Appendices.md,1159,appendix,A.9,"Cross-reference: Section 2.1 (Environment Setup), Appendix A.9 (WSL & Cross-P...",WSL & Cross-Platform Setup,Working in WSL (Windows Subsystem for Linux) introduces specific issues with ...,0.2248,64,19,True,match,
DSM_1.0_Methodology_Appendices.md,1163,appendix,A,**End of Appendix A**,Environment Setup Details,**File:** `DSM_1.0_Methodology_Appendices.md` (Section A) **Purpose:** Detail...,0.2012,44,12,True,match,
DSM_1.0_Methodology_Appendices.md,1165,section,2.1,Return to main document: **Section 2.1: Phase 0: Environment Setup**,Phase 0: Environment Setup,,0.4451,36,4,True,match,
DSM_1.0_Methodology_Appendices.md,1169,appendix,B,# Appendix B: Phase Deep Dives,Phase Deep Dives,**File:** `DSM_1.0_Methodology_Appendices.md` (Section B) **Purpose:** Detail...,0.5223,39,12,True,match,
DSM_1.0_Methodology_Appendices.md,1172,section,2,**Main Document:** `1.0_Data_Science_Collaboration_Methodology.md` â†’ Section 2,Making Changes,**Fork and Clone:**,0.0000,36,4,True,drift,
DSM_1.0_Methodology_Appendices.md,2316,appendix,B,**End of Appendix B**,Phase Deep Dives,**File:** `DSM_1.0_Methodology_Appendices.md` (Section B) **Purpose:** Detail...,0.0354,20,12,True,drift,
DSM_1.0_Methodology_Appendices.md,2318,section,2,Return to main document: **Section 2: Core Workflow**,Making Changes,**Fork and Clone:**,0.0000,22,4,True,drift,
DSM_1.0_Methodology_Appendices.md,2322,appendix,C,# Appendix C: Advanced Practices Detailed,Advanced Practices Detailed,**File:** `DSM_1.0_Methodology_Appendices.md` (Section C) **Purpose:** Implem...,0.5308,36,13,True,match,
DSM_1.0_Methodology_Appendices.md,2325,section,5,**Main Document:** `1.0_Data_Science_Collaboration_Methodology.md` â†’ Section 5,Pull Request Process,**Update Documentation:**,0.0000,34,5,True,drift,
DSM_1.0_Methodology_Appendices.md,2409,section,4.4.1,"**When to Use:** Testing system behaviors, edge cases, or capabilities where ...",Fixture Validation Principle,"Before writing tests against synthetic fixtures, verify the fixture format ma...",0.0923,77,31,True,drift,
DSM_1.0_Methodology_Appendices.md,2816,section,3,- DSM_4.0 Section 3: Testing Strategy (unit/integration/E2E),Standards to Follow,**Documentation Style:**,0.0000,61,4,True,drift,
DSM_1.0_Methodology_Appendices.md,2817,section,4,- DSM_4.0 Section 4: Quality Gates (when to use capability experiments),Commit Guidelines,**Commit Message Format:**,0.0000,44,5,True,drift,
DSM_1.0_Methodology_Appendices.md,2928,section,3.4,- **DSM 4.0 Section 3.4:** Tests vs Capability Experiments (when to use each),Directory Structure,,0.0000,51,2,False,insufficient,
DSM_1.0_Methodology_Appendices.md,3342,appendix,C,**End of Appendix C**,Advanced Practices Detailed,**File:** `DSM_1.0_Methodology_Appendices.md` (Section C) **Purpose:** Implem...,0.2293,25,13,True,match,
DSM_1.0_Methodology_Appendices.md,3344,section,5,Return to main document: **Section 5: Advanced Practices**,Pull Request Process,**Update Documentation:**,0.0000,22,5,True,drift,
DSM_1.0_Methodology_Appendices.md,3348,appendix,D,# Appendix D: Domain Adaptations,Domain Adaptations,**File:** `DSM_1.0_Methodology_Appendices.md` (Section D) **Purpose:** Domain...,0.4194,32,10,True,match,
DSM_1.0_Methodology_Appendices.md,3351,section,2,**Main Document:** `1.0_Data_Science_Collaboration_Methodology.md` → Section 2,Making Changes,**Fork and Clone:**,0.0000,40,4,True,drift,
DSM_1.0_Methodology_Appendices.md,3776,section,2.2,Extends Section 2.2 (Exploration) with text-specific patterns. Use alongside,Phase 1: Exploration,,0.1389,30,3,True,match,
DSM_1.0_Methodology_Appendices.md,3809,section,2.2,"Cross-reference: Section 2.2 (Three-Layer EDA Framework), Appendix B.2.4 (EDA...",Phase 1: Exploration,,0.0000,47,3,True,drift,
DSM_1.0_Methodology_Appendices.md,3809,appendix,B.2.4,"Cross-reference: Section 2.2 (Three-Layer EDA Framework), Appendix B.2.4 (EDA...",EDA Techniques by Data Type,**Numeric Data:**,0.2433,47,6,True,match,
DSM_1.0_Methodology_Appendices.md,3813,section,2.3,Extends Section 2.3 (Feature Engineering) with NLP-specific parameter guidance,Phase 2: Feature Engineering,,0.1457,48,4,True,match,
DSM_1.0_Methodology_Appendices.md,3847,section,2.3.7,WARNING: Apply Section 2.3.7 (Data Leakage Prevention) to all text preprocess...,Data Leakage Prevention,**Context:** Data leakage occurs when information from outside the training d...,0.2587,73,21,True,match,
DSM_1.0_Methodology_Appendices.md,3850,section,2.3,"Cross-reference: Section 2.3 (Feature Engineering), Section 2.3.7 (Data Leaka...",Phase 2: Feature Engineering,,0.1150,63,4,True,match,
DSM_1.0_Methodology_Appendices.md,3850,section,2.3.7,"Cross-reference: Section 2.3 (Feature Engineering), Section 2.3.7 (Data Leaka...",Data Leakage Prevention,**Context:** Data leakage occurs when information from outside the training d...,0.2587,63,21,True,match,
DSM_1.0_Methodology_Appendices.md,3855,section,2.4,"mean ""better for every task."" Empirical comparison is always required (Sectio...",Phase 3: Analysis,,0.0000,49,3,True,drift,
DSM_1.0_Methodology_Appendices.md,3905,section,2.4,"Cross-reference: Section 2.4 (Analysis), Section 2.3.7 (Data Leakage Prevention)",Phase 3: Analysis,,0.0741,47,3,True,drift,
DSM_1.0_Methodology_Appendices.md,3905,section,2.3.7,"Cross-reference: Section 2.4 (Analysis), Section 2.3.7 (Data Leakage Prevention)",Data Leakage Prevention,**Context:** Data leakage occurs when information from outside the training d...,0.1100,47,21,True,match,
DSM_1.0_Methodology_Appendices.md,3950,section,2.4.6,"Cross-reference: Section 2.4.6 (Model Comparison), Section 2.4.7 (Error Analy...",Model Comparison Documentation,"When comparing multiple models or approaches, use this structured template to...",0.1106,37,17,True,match,
DSM_1.0_Methodology_Appendices.md,3950,section,2.4.7,"Cross-reference: Section 2.4.6 (Model Comparison), Section 2.4.7 (Error Analy...",Error Analysis Framework,"After model selection, conduct structured error analysis to understand failur...",0.1295,37,15,True,match,
DSM_1.0_Methodology_Appendices.md,3951,appendix,D.2.6,Appendix D.2.6 (NLP Performance Expectations),NLP Performance Expectations,"Guides realistic expectations for NLP model selection. ""More advanced"" does n...",0.2707,33,20,True,match,
DSM_1.0_Methodology_Appendices.md,4408,appendix,D,**End of Appendix D**,Domain Adaptations,**File:** `DSM_1.0_Methodology_Appendices.md` (Section D) **Purpose:** Domain...,0.3157,28,10,True,match,
DSM_1.0_Methodology_Appendices.md,4410,section,2,Return to main document: **Section 2: Core Workflow**,Making Changes,**Fork and Clone:**,0.0000,25,4,True,drift,
DSM_1.0_Methodology_Appendices.md,4416,appendix,E,# Appendix E: Quick Reference,Quick Reference,**File:** `DSM_1.0_Methodology_Appendices.md` (Section E) **Purpose:** Checkl...,0.3974,29,11,True,match,
DSM_1.0_Methodology_Appendices.md,5421,section,6.4.5,the project feedback system (Section 6.4.5). Section-level scoring is now part,Project Feedback Deliverables,"At project start, create two feedback files in `docs/feedback/`. These files ...",0.5085,35,29,True,match,
DSM_1.0_Methodology_Appendices.md,5547,appendix,E,**End of Appendix E**,Quick Reference,**File:** `DSM_1.0_Methodology_Appendices.md` (Section E) **Purpose:** Checkl...,0.0472,28,11,True,drift,
DSM_1.0_Methodology_Appendices.md,5549,section,6.2,Return to main document: **Section 6.2: Quality Assurance**,Quality Assurance,,0.0000,29,2,False,insufficient,
DSM_1.0_Methodology_Appendices.md,5585,section,3.2.3,- **DSM Reference:** Section 3.2.3 (Code Quality Guidelines),Code Quality Guidelines,**For Academic/Exploratory Work:**,0.1387,42,6,True,match,
DSM_1.0_Methodology_Appendices.md,5604,section,3.2.3,- **DSM Reference:** Section 3.2.3 (Code Quality Guidelines),Code Quality Guidelines,**For Academic/Exploratory Work:**,0.1525,52,6,True,match,
DSM_1.0_Methodology_Appendices.md,5610,section,3.2.3,- **DSM Reference:** Section 3.2.3 (Code Quality Guidelines),Code Quality Guidelines,**For Academic/Exploratory Work:**,0.1299,57,6,True,match,
DSM_1.0_Methodology_Appendices.md,5625,appendix,A,- **DSM Reference:** Appendix A (Environment Setup),Environment Setup Details,**File:** `DSM_1.0_Methodology_Appendices.md` (Section A) **Purpose:** Detail...,0.0779,43,12,True,drift,
DSM_1.0_Methodology_Appendices.md,5631,section,3.2.3,- **DSM Reference:** Section 3.2.3 (Code Quality Guidelines),Code Quality Guidelines,**For Academic/Exploratory Work:**,0.1051,53,6,True,match,
DSM_1.0_Methodology_Appendices.md,5645,section,3.2.5,- **DSM Reference:** Section 3.2.5 (Print Statement Standards),Print Statement Standards,**DO Print (Informative Outputs):**,0.1688,36,7,True,match,
DSM_1.0_Methodology_Appendices.md,5659,section,3.2.3,- **DSM Reference:** Section 3.2.3 (Code Quality Guidelines),Code Quality Guidelines,**For Academic/Exploratory Work:**,0.2443,43,6,True,match,
DSM_1.0_Methodology_Appendices.md,5665,section,3.2.3,- **DSM Reference:** Section 3.2.3 (Code Quality Guidelines),Code Quality Guidelines,**For Academic/Exploratory Work:**,0.2272,51,6,True,match,
DSM_1.0_Methodology_Appendices.md,5677,section,3.1,"- **DSM Reference:** Section 3.1 (Notebook Structure), Section 6.1.4 (Daily D...",Notebook Structure,,0.0000,57,2,False,insufficient,
DSM_1.0_Methodology_Appendices.md,5677,section,6.1.4,"- **DSM Reference:** Section 3.1 (Notebook Structure), Section 6.1.4 (Daily D...",Daily Documentation Protocol,**Purpose:** Maintain project continuity and progress visibility through cons...,0.1044,57,16,True,match,
DSM_1.0_Methodology_Appendices.md,5683,section,3.2.3,- **DSM Reference:** Section 3.2.3 (Code Quality Guidelines),Code Quality Guidelines,**For Academic/Exploratory Work:**,0.1290,59,6,True,match,
DSM_1.0_Methodology_Appendices.md,5689,section,3.1,- **DSM Reference:** Section 3.1 (Notebook Structure),Notebook Structure,,0.0000,61,2,False,insufficient,
DSM_1.0_Methodology_Appendices.md,5700,section,2.2,"- **DSM Reference:** Section 2.2 (Exploration), Section 3.2.2 (Output Standards)",Phase 1: Exploration,,0.1030,51,3,True,match,
DSM_1.0_Methodology_Appendices.md,5700,section,3.2.2,"- **DSM Reference:** Section 2.2 (Exploration), Section 3.2.2 (Output Standards)",Output Standards,**Number Formatting:**,0.1027,51,4,True,match,
DSM_1.0_Methodology_Appendices.md,5710,section,4.1,- **DSM Reference:** Section 4.1 (Decision Log Framework),Decision Log Framework,,0.2226,46,3,True,match,
DSM_1.0_Methodology_Appendices.md,5716,section,3.1,- **DSM Reference:** Section 3.1 (Notebook Structure),Notebook Structure,,0.0000,52,2,False,insufficient,
